no,channel,subs,views,date,like,hate,review
90,흥삼,1400000,"301,927",2020.7.16.,8000,735,"1,016"
91,흥삼,1400000,"449,279",2020.7.15.,10000,779,"1,174"
92,흥삼,1400000,"310,310",2020.7.14.,7900,723,690
93,흥삼,1400000,"647,646",2020.7.13.,14000,929,"1,256"
94,흥삼,1400000,"520,614",2020.7.12.,12000,956,"1,586"
95,흥삼,1400000,"301,745",2020.7.11.,8200,488,621
96,흥삼,1400000,"610,297",2020.7.9.,14000,912,"1,630"
97,흥삼,1400000,"340,646",2020.7.8.,8000,700,"1,039"
98,흥삼,1400000,"663,100",2020.7.7.,13000,801,976
99,흥삼,1400000,"620,712",2020.7.6.,13000,739,"1,095"
100,흥삼,1400000,"555,248",2020.7.5.,11000,1000,"1,806"
101,남순NS,860000,"149,796",2020.7.27.,1600,61,306
102,남순NS,860000,"543,431",2020.7.25.,4700,219,641
103,남순NS,860000,"277,534",2020.7.24.,2200,58,394
104,남순NS,860000,"519,483",2020.7.23.,4000,201,583
106,남순NS,860000,"913,275",2020.7.21.,6000,554,972
107,남순NS,860000,"267,955",2020.7.19.,3200,103,421
108,남순NS,860000,"608,011",2020.7.18.,3600,179,428
109,남순NS,860000,"250,207",2020.7.17.,1900,74,373
110,남순NS,860000,"526,516",2020.7.16.,4200,148,717
111,남순NS,860000,"768,882",2020.7.15.,4500,221,553
112,남순NS,860000,"236,650",2020.7.14.,1900,108,363
113,남순NS,860000,"485,524",2020.7.11.,2900,124,403
114,남순NS,860000,"501,846",2020.7.10.,3300,156,453
115,남순NS,860000,"398,521",2020.7.9.,5000,128,672
116,남순NS,860000,"639,189",2020.7.8.,3500,155,412
117,남순NS,860000,"244,469",2020.7.7.,1800,64,308
118,남순NS,860000,"729,211",2020.7.6.,4100,214,438
119,남순NS,860000,"591,303",2020.7.5.,3800,133,742
120,남순NS,860000,"300,949",2020.7.4.,3200,174,644
121,이영호FlaSh,265000,"30,855",2020.7.26.,194,8,57
122,이영호FlaSh,265000,"30,292",2020.7.26.,170,6,23
123,이영호FlaSh,265000,"29,353",2020.7.26.,162,10,24
